;dhn_id;total_loss;total_consumption;total_production;ratio_e_loss_production;ratio_e_loss_consumption
0;1;8.61469E+11;5.55461E+12;6.41608E+12;0.134267176;0.155090776
1;2;2.76862E+11;1.32183E+12;1.5987E+12;0.173180093;0.209453221
2;3;7.66866E+11;4.18606E+12;4.95292E+12;0.154830981;0.183195288
3;4;9.1022E+11;6.10974E+12;7.01996E+12;0.129661621;0.148978402
4;100;3.9539E+11;9.55753E+11;1.35114E+12;0.292633855;0.413695026
5;101;7.03057E+11;6.23975E+12;6.94281E+12;0.101264084;0.112673903
6;102;6.15778E+11;5.02606E+12;5.64184E+12;0.109144917;0.122517028
7;103;8.75125E+11;1.23191E+13;1.31943E+13;0.066326156;0.071037822
8;104;9.47177E+11;6.95398E+12;7.90116E+12;0.119878247;0.136206436
9;105;3.58858E+11;3.68443E+12;4.04329E+12;0.088753879;0.097398362
10;106;2.96731E+11;7.1398E+11;1.01071E+12;0.293586803;0.415602093
11;108;1.74792E+12;8.22414E+12;9.97205E+12;0.175281545;0.21253501
12;109;5.43924E+11;6.81955E+11;1.22588E+12;0.443701115;0.797594832
13;110;1.15121E+12;1.07683E+13;1.19195E+13;0.096582257;0.106907637
14;111;3.97195E+11;5.08864E+11;9.06059E+11;0.438376155;0.78055118
15;112;7.9586E+11;9.10022E+12;9.89608E+12;0.080421735;0.08745502
16;122;1.16522E+12;1.90258E+12;3.0678E+12;0.379822506;0.612441615
17;133;1.91963E+12;1.99226E+12;3.91189E+12;0.490715783;0.963540133
18;137;1.02055E+12;2.0105E+12;3.03105E+12;0.336699643;0.507612637
